# مصطلحات مُلزِمة — يفحصها tools/check_terms.py في CI
#
# العمود الأول: الصياغة المعتمدة.  العمود الثاني: صيغ مرفوضة يفصلها |
# المقصود المصطلحات التي ظهرت فعلًا بأكثر من صياغة، لا كل كلمة في اللعبة.
# اختلاف التعريف والتنكير (مخزون/المخزون) نحوٌ سليم ولا يُفحص.
#
# أضف سطرًا هنا كلما وحّدت مصطلحًا متكررًا، وحدّث docs/glossary.md معه.
canonical	rejected
سائل إدراكي	سائل معرفي|سائل ادراكي
قطعة زراعية	حوض زراعة|حوض الزراعة|مزرعة صغيرة
دماغ البحث	دماغ بحث|عقل البحث
مخلب العامل	مخلب عامل|المخلب العامل|كماشة العامل
المسلة	المونوليث|النصب الحجري|الحجر الأحادي
وحدة الفضاء	الوحدة الفضائية|وحدة فضائية|المركبة الفضائية
مشروع «شروق الصباح»	مشروع مورنينغرايز|مشروع الشروق
نواة بروميثيوس	قلب بروميثيوس|مفاعل بروميثيوس
كينت	كِنت|كنت الأصلي
# أفعال أمر تُقرأ خطأً بلا تشكيل. «^» تعني: تُرفض في بداية النص فقط —
# لأن «أنه» و«سلم» و«ابن» كلمات سليمة داخل الجملة، وإنما تلتبس حين تُقصد أمرًا.
شيد	^ابن
أودع	^سلم
أكمل	^أنه
