# تعريب Kentum — الملابس والمعدّات
key	ar

# ── الرأس ──
EquipmentData_Head_ConstructionWorker_Name	خوذة عامل بناء
EquipmentData_Head_ConstructionWorker_Description	خوذة عامل بناء.
EquipmentData_Head_SpaceExplorer_Name	خوذة مستكشف الفضاء
EquipmentData_Head_SpaceExplorer_Description	خوذة مستكشف فضاء
EquipmentData_Head_Warhelmet_Name	خوذة الحرب
EquipmentData_Head_Warhelmet_Description	صنعت للقتال والنجاة، تستعيد هذه الخوذة الصحة ببطء لتبقيك جاهزا للمعركة التالية.
EquipmentData_Head_HeavyUVProtector_Name	واقي الأشعة الثقيل
EquipmentData_Head_HeavyUVProtector_Description	خوذة متينة مقواة بنيت للمواقف الصعبة، تمنح حماية قوية من الشمس بمظهر جاد لا يمزح.
EquipmentData_Head_Goggles_Name	نظارة الغنائم
EquipmentData_Head_Goggles_Description	تزيد فرصك في العثور على غنائم إضافية.
EquipmentData_Head_Tinfoil_Name	قبعة القصدير
EquipmentData_Head_Tinfoil_Description	تحفظ أفكارك من التحكم الذهني ومن قارئي الأفكار ومن المنطق السليم.
EquipmentData_Head_BDayHat_Name	قبعة عيد الميلاد
EquipmentData_Head_BDayHat_Description	قبعة مخروطية ملونة تصرخ احتفالا. مضمونة لتجعلك روح الحفلة.
EquipmentData_Head_ClownWig_Name	شعر المهرج السخيف
EquipmentData_Head_ClownWig_Description	كتلة جامحة من التجعيدات بألوان قوس قزح، فوضوية ومبهجة بالقدر نفسه. مثالية لمقالب السيرك.
EquipmentData_Head_MalevolentlyFunnyHat_Name	قبعة المرح الخبيث
EquipmentData_Head_MalevolentlyFunnyHat_Description	قبعة مهرج بلمسة مظلمة، مثالية للمشاغبين ذوي الحس الفكاهي الشرير.
EquipmentData_Head_MateLoverBeret_Name	بيريه عاشق المتة
EquipmentData_Head_MateLoverBeret_Description	قبعة بيريه مائلة أنيقة تفيض سحرا ورقيا، مثالية لاحتساء الشاي مع خير رفيق، أو المتة مع خير شاي.
EquipmentData_Head_PointyEndHat_Name	القبعة المدببة
EquipmentData_Head_PointyEndHat_Description	قبعة مخروطية أنيقة بحافة حادة، تمنحك هالة ساحر غامض أو مجرد كمال مدبب.
EquipmentData_Head_WildEastHat_Name	قبعة الشرق المتوحش
EquipmentData_Head_WildEastHat_Description	قبعة متينة عريضة الحواف مستوحاة من الحدود المتوحشة، جاهزة للدروب المغبرة والمواجهات الملحمية.
EquipmentData_Head_Skeleton_Name	رأس هيكل عظمي
EquipmentData_Head_Skeleton_Description	رأس هيكل عظمي

# ── الإكسسوارات ──
EquipmentData_Accesory_ConstructionWorker_Name	نظارة أمان
EquipmentData_Accesory_ConstructionWorker_Description	نظارة أمان.
EquipmentData_Accesory_SpaceExplorer_Name	عدسة مستكشف الفضاء
EquipmentData_Accesory_SpaceExplorer_Description	عدسة مستكشف فضاء
EquipmentData_Accesory_HiTechPatch_Name	رقعة عالية التقنية
EquipmentData_Accesory_HiTechPatch_Description	رقعة عالية التقنية
EquipmentData_Accesory_N909Mask_Name	قناع N909
EquipmentData_Accesory_N909Mask_Description	قناع N909
EquipmentData_Accesory_CarnivalMask_Name	قناع الكرنفال
EquipmentData_Accesory_CarnivalMask_Description	قناع ريشي زاهي يحولك إلى نجم أي حفل تنكري.
EquipmentData_Accesory_ClownNose_Name	أنف المهرج السخيف
EquipmentData_Accesory_ClownNose_Description	أنف أحمر زاه يصدر صوتا عند ضغطه، ذروة إكسسوارات المهرجين. تحذير: قد يجذب البالونات.
EquipmentData_Accesory_CrazyEyesGlasses_Name	نظارة العيون المجنونة
EquipmentData_Accesory_CrazyEyesGlasses_Description	نظارة هزلية ضخمة بعدسات حلزونية تجعلك تبدو مختلا على نحو بهيج.
EquipmentData_Accesory_CyranoMask_Name	قناع سيرانو
EquipmentData_Accesory_CyranoMask_Description	قناع درامي طويل الأنف للأرواح الشاعرية أو لمن يريد دخولا مدويا فحسب.
EquipmentData_Accesory_FreshMindGelatto_Name	جيلاتو العقل المنعش
EquipmentData_Accesory_FreshMindGelatto_Description	غطاء رأس بارد كريمي على هيئة مغرفة جيلاتو، يبقي أفكارك باردة وحلوة.
EquipmentData_Accesory_PopBeastGlasses_Name	نظارة وحش البوب
EquipmentData_Accesory_PopBeastGlasses_Description	نظارة براقة تصرخ بأناقة الثقافة الشعبية، مثالية للتميز وسط أي حشد.
EquipmentData_Accesory_RBSunglasses_Name	نظارة شمسية أنيقة
EquipmentData_Accesory_RBSunglasses_Description	أناقة خالصة

# ── الجذع ──
EquipmentData_Torso_SpaceExplorer_Name	بذلة مستكشف الفضاء
EquipmentData_Torso_SpaceExplorer_Description	بذلة مستكشف فضاء
EquipmentData_Torso_ConstructionWorker_Name	سترة عامل بناء
EquipmentData_Torso_ConstructionWorker_Description	سترة عامل بناء.
EquipmentData_Torso_BoringShirt_Name	قميص ممل
