# تعريب Kentum — مباني القاعدة والآلات
#
# ملاحظة أسلوبية: كثير من هذه الأوصاف يرويها O.R.B. الروبوت المساعد بنبرة
# ساخرة لاذعة. حافظتُ على السخرية بدل تسطيحها إلى وصف محايد.
#
key	ar

# ── التصنيفات ──
BaseExpansion_Category_Structures	المنشآت
BaseExpansion_Category_Machines	الآلات
BaseExpansion_Category_Automation	الأتمتة
BaseExpansion_Category_Decorations	الزينة
BaseExpansion_Locomotion_Family_Name	التنقل داخل القاعدة

# ── المحطات الأساسية ──
BaseExpansion_Workbench_Name	طاولة العمل
BaseExpansion_Workbench_Description	محطة متعددة الاستخدامات تُصنع فيها الآلات المحمولة وطيف واسع من عناصر النجاة.
BaseExpansion_BaseExpansionModule_MOCK_Name	توسعة القاعدة
BaseExpansion_BaseExpansionModule_MOCK_Description	آلة لبناء الآلات والمنشآت لقاعدتك.
BaseExpansion_AbilityCrafter_MOCK_Name	محطة وحدة الفضاء
BaseExpansion_AbilityCrafter_MOCK_Description	محطة وحدة الفضاء هي آلتك المفضلة لترقية عتادك وتقوية قاعدتك وصقل مهاراتك. إنها أشبه بمحطة تعزيز تجعلك أروع مما أنت عليه!
BaseExpansion_EnhancementMachine_MOCK_Name	المعزِّز الوراثي
BaseExpansion_EnhancementMachine_MOCK_Description	آلة لترقية قدرات عصاك أو فتحها.
BaseExpansion_ResearchBrain_Name	دماغ البحث
BaseExpansion_ResearchBrain_Description	دماغ حيوي اصطناعي هائل معلَّق في خزان احتواء، يعمل واجهةً أساسية لفتح تقنيات القاعدة وتطويرها.
BaseExpansion_GemCrafter_MOCK_Name	صانع جواهر وثّاب الكريستال
BaseExpansion_GemCrafter_MOCK_Description	آلة لصنع البلورات التي تشغّل وثّابات الكريستال.
BaseExpansion_Monolith_BiotechLab_MOCK_Name	التقنيات الحيوية

# ── آلات المعالجة ──
BaseExpansion_Foundry_Name	المسبك
BaseExpansion_Foundry_Description	آلة تستخدم <color=#008aff><b>الفحم</b></color> و<color=#008aff><b>المعادن</b></color> و<color=#008aff><b>البلاستيك</b></color> لصنع <color=#008aff><b>السبائك</b></color>.
BaseExpansion_CharcoalKiln_Name	الفرن
BaseExpansion_CharcoalKiln_Description	بحرارة هائلة، يحوّل هذا الفرن المواد العضوية كالخشب والعظام إلى كتل صالحة من <color=#008aff><b>الفحم</b></color>. عيد ميلاد مجيد، أيها الشقي.
BaseExpansion_VitrumForge_Name	فرن الزجاج
BaseExpansion_VitrumForge_Description	فرن عالي الطاقة مصمم لصنع <color=#008aff><b>صفائح الزجاج</b></color>.
BaseExpansion_Furnace_Name	صانعة الصفائح
BaseExpansion_Furnace_Description	مكبس هيدروليكي مصمم لتشكيل <color=#008aff><b>صفائح المعدن</b></color>.
BaseExpansion_Press_Name	المكبس
BaseExpansion_Press_Description	يضغط المواد السائبة إلى مكوّنات إنشائية كثيفة على هيئة صفائح.
BaseExpansion_Blender_Name	الخلاط
BaseExpansion_Blender_Description	يطحن المواد الخام إلى مساحيق وحبيبات لمعالجتها لاحقًا.
BaseExpansion_Grinder_Name	المطحنة
BaseExpansion_Grinder_Description	آلة تطحن المواد.
BaseExpansion_Alchemy_Name	المركِّز
BaseExpansion_Alchemy_Description	محطة عمل تركّز المواد <color=#008aff><b>البسيطة لكن الصالحة</b></color> إلى عناصر مكرَّرة.
BaseExpansion_Crystallizer_Name	المبلور
BaseExpansion_Crystallizer_Description	يضغط المواد ويُنقّيها إلى بلورات ومواد صلبة نادرة.
BaseExpansion_Fabricator_Name	المُصنِّع
BaseExpansion_Fabricator_Description	يجمّع الأجزاء المعقّدة والمواد النانوية إلى منتجات متقدّمة.
BaseExpansion_Threader_Name	آلة الخيوط
BaseExpansion_Threader_Description	آلة تصنع الخيوط والألياف.
BaseExpansion_Loom_Name	النول
BaseExpansion_Loom_Description	نول ميكانيكي ينسج <color=#008aff><b>الأقمشة</b></color> و<color=#008aff><b>الجلود</b></color> باستخدام <color=#008aff><b>الألياف النباتية</b></color>.
BaseExpansion_Wardrobe_Name	خزانة الملابس
BaseExpansion_Wardrobe_Description	جهاز مصمم لصنع <color=#008aff><b>قطع الملابس</b></color>. ستكون أكثر رجل أناقة على وجه الأرض. بل الوحيد، في الواقع.
BaseExpansion_CircuitAssembler_Name	مجمِّع الدارات
BaseExpansion_CircuitAssembler_Description	يجمع الأجزاء المكرَّرة لإنتاج مكوّنات إلكترونية أساسية.
BaseExpansion_MotherBrain_Name	الدماغ الأم
BaseExpansion_MotherBrain_Description	يخلّق نوى الذكاء الاصطناعي والمصفوفات العصبية لأنظمة الأتمتة.
BaseExpansion_CoreMaker_Name	صانع النوى
BaseExpansion_CoreMaker_Description	يصنع نوى الطاقة الأساسية للآلات والتقنيات المتوسطة.
BaseExpansion_CoreMakerAdvanced_Name	صانع النوى المتقدّم
BaseExpansion_CoreMakerAdvanced_Description	يرقّي نوى الطاقة إلى مصادر طاقة عالية السعة.
BaseExpansion_Destroyer_Name	المفكِّك 10000
BaseExpansion_Destroyer_Description	يفتّت المادة على المستوى دون الذري. وأصابعك تُعدّ مادة.
BaseExpansion_Detonator_Name	مُفعِّل بروتوكول الإبادة
BaseExpansion_Detonator_Description	ستُفعّل هذه الآلة بروتوكولات الإبادة.
BaseExpansion_ProjectileCrafter_Name	محطة ذخيرة البلازما
BaseExpansion_ProjectileCrafter_Description	آلة تتيح لك صنع <color=#008aff><b>ذخيرة البلازما</b></color>. اصنع <color=#008aff><b>ذخيرة البلازما</b></color> لتفتح <color=#00ffffff><b>قدرة جديدة</b></color>!
BaseExpansion_CaptureQube_Name	صانع الفخاخ
BaseExpansion_CaptureQube_Description	آلة تنتج <color=#008aff><b>أقراص الأسر</b></color> التي تستخدمها لجمع الحيوانات بطريقة رحيمة. أما ما تفعله بالحيوان بعدها فتلك مشكلتك.

# ── الطهي والتخزين ──
BaseExpansion_CookingStove_Name	موقد الطهي
BaseExpansion_CookingStove_Description	محطة طهي موثوقة مثالية لإعداد <color=#008aff><b>أطباق</b></color> ساخنة شهية كما كانت تفعل أمك. أمك أنت، على ما أظن. أمي أنا كانت رجلًا في معطف مختبر.
BaseExpansion_CookingZone_Name	قِدر الطهي
BaseExpansion_CookingZone_Description	طريقة محفوفة بالمخاطر <color=#008aff><b>لطهي</b></color> المكوّنات النيئة فورًا إلى <color=#008aff><b>أطباق</b></color> مغذّية.
BaseExpansion_PortableBonfire_Name	الموقد
BaseExpansion_PortableBonfire_Description	موقد مرتجل للطهي أثناء التنقل. سينطفئ في النهاية.
BaseExpansion_Brewery_Name	المخمرة
BaseExpansion_Brewery_Description	محطة تخمير مثالية لتحضير <color=#008aff><b>الإكسيرات والجرعات</b></color>. تذكّر ارتداء القفازات ونظارات الحماية.
BaseExpansion_FoodReplicator_Name	طابعة الطعام
