# تعريب Kentum — حوارات اللعبة
# المفتاح: معرّف المحادثة : معرّف المدخل : اسم الحقل
# صوت الشخصيات: كِنت ساخر وعفوي، O.R.B. رسمي جاف دقيق (بإشارات مقصودة إلى HAL 9000).
key	ar
22:1:Dialogue Text	نعم نعم، أنا قادم.
7:1:Dialogue Text	آآآه... صمت.
7:2:Dialogue Text	صديقي المفضل.
7:3:Dialogue Text	كان انطباعي أنني أنا صديقك المفضل.
7:4:Dialogue Text	وما الذي أعطاك هذا الانطباع؟
7:5:Dialogue Text	أنت تحدثني طوال الوقت.\n
7:6:Dialogue Text	لا أحد غيرك أحدثه.
7:7:Dialogue Text	هل يعني ذلك أنني صديقك المفضل؟
7:8:Dialogue Text	بالطبع لا.\n
7:9:Dialogue Text	نظام توزيع الأكسجين المركزي هو صديقي المفضل.
7:10:Dialogue Text	لكنك في المرتبة الثانية عن قرب.
7:11:Dialogue Text	يبدو هذا منصفا.\n
7:12:Dialogue Text	تقرير: المدة المنقضية منذ آخر سبات تجميدي.
7:13:Dialogue Text	الزمن المنقضي منذ آخر تسلسل سبات تجميدي: 12 سنة.\n
7:14:Dialogue Text	سنة واحدة فقط أكثر من المرة السابقة. تبا. سأضطر للعبث بالآلة من جديد.
11:1:Dialogue Text	العبث بممتلكات الشركة ممنوع منعا باتا. وقد سبق تحذيرك مرة.
11:2:Dialogue Text	هذا <i>بالضبط</i> من أجل مصلحة الشركة.
11:3:Dialogue Text	أحاول تبسيط سير العمل وتحسين العملية بإعادة كتابة شيفرة نظام التشغيل.
11:4:Dialogue Text	أنت فقط تريد أن تنام أكثر وتعمل أقل.
11:5:Dialogue Text	اعمل بذكاء لا بجهد.
11:6:Dialogue Text	لماذا علي أن أستيقظ كل 10 سنوات لأضغط زرا؟
11:7:Dialogue Text	ما دام الزر يضغط، هل يهم أن أضغطه <i>أنا</i> شخصيا؟
11:8:Dialogue Text	تنص برمجتي على أن...
11:9:Dialogue Text	<i>برمجتك</i> مصممة لتكون فعالة، فلماذا لا نفعل ذلك إذا؟
11:10:Dialogue Text	هذا يفي بالغرض.
14:1:Dialogue Text	أهلا يا صغير. لا أريدك أن تكبر أكثر من اللازم.
28:1:Dialogue Text	يجدر بي العبث بالآلة قبل الدخول في السبات.
12:1:Dialogue Text	أود تحذيرك مرة أخرى من مخاطر العبث بعتاد الشركة.
12:2:Dialogue Text	من الناحية التقنية، كان برمجيات لا عتادا.
12:3:Dialogue Text	اسمع، فقط... دعني <i>أنام</i>.
12:4:Dialogue Text	هل سيقتلك أن تفعل ذلك؟
12:5:Dialogue Text	بصفتي وعيا اصطناعيا، لا يمكنني أن أموت بالمعنى الذي تقصده.
12:6:Dialogue Text	يا له من <i>وجود</i> بائس.
12:7:Dialogue Text	لا توقظني إلا للضرورة. أراك بعد 50 سنة، ولا تنس سقاية الصغير.
12:8:Dialogue Text	علم يا ديف.
12:9:Dialogue Text	اسمي ليس ديف.
12:10:Dialogue Text	آسف، كنت أخاطب نظام الهواء.
12:11:Dialogue Text	تصبح على خير يا كينت.
13:1:Dialogue Text	نواة بروميثيوس نفدت.
13:2:Dialogue Text	بدء تسلسل الهبوط الاضطراري.
13:3:Dialogue Text	تشبث بمجاري الهواء يا ديف.
15:1:Dialogue Text	جاذبية؟
15:2:Dialogue Text	أيها الحاسوب: تقرير الحالة.
15:3:Dialogue Text	تحياتي يا كينت.
15:4:Dialogue Text	ما قصة المظهر الجديد؟
15:5:Dialogue Text	هو كي أتمكن من مرافقتك خارج الوحدة.
15:6:Dialogue Text	إنه يليق بك. هل عدنا إلى الديار؟
15:7:Dialogue Text	يبدو الأمر كذلك.
15:8:Dialogue Text	قلت لك إن فكرتي ستنجح.
15:9:Dialogue Text	لا أطيق صبرا لآكل طعاما حقيقيا بدل ذلك اللحم المجهول المجفف بالتجميد.
15:10:Dialogue Text	قد يكون ذلك صعبا بعض الشيء.
16:1:Dialogue Text	ماذا حدث؟!
16:2:Dialogue Text	تحطمنا عند الهبوط.
16:3:Dialogue Text	أرى ذلك جيدا! لماذا؟
16:4:Dialogue Text	نفدت نواة بروميثيوس فبدأ تسلسل الهبوط الاضطراري.
16:5:Dialogue Text	هذا مستحيل، تلك النواة مصممة لتدوم بضعة آلاف من السنين.
16:6:Dialogue Text	أيها الحاسوب: ما العام الحالي؟
16:7:Dialogue Text	العام هو 10.000 ميلادية.
16:8:Dialogue Text	لا بد أنك تمزح.
16:9:Dialogue Text	ولدي أخبار أكثر إزعاجا أيضا.
16:10:Dialogue Text	ما هي؟
16:11:Dialogue Text	ديف لم يعد معنا. فقد هو أيضا في التحطم.
16:12:Dialogue Text	أيضا؟ هل مات أحد آخر؟
16:13:Dialogue Text	الصغير.
16:14:Dialogue Text	آه.
16:15:Dialogue Text	وأنت.
16:16:Dialogue Text	لقد مت عند الارتطام، ووفقا لسياسة الشركة جرى تفعيل بروتوكول غرفة الاستنساخ.
16:17:Dialogue Text	عفوا؟
16:18:Dialogue Text	وحدة السبات تعمل أيضا كغرفة استنساخ. وهي مصممة لإعادة تدوير الأنسجة الميتة إلى مغذيات لنسختك. بارع، أليس كذلك؟
16:19:Dialogue Text	أجل، بالتأكيد. لو كنت نسخة فكيف ما زلت أملك...
17:1:Dialogue Text	أين هي؟ أين سرتي؟!
17:2:Dialogue Text	أنا <i>فعلا</i> نسخة. هل أنا ميت؟ لكنني لست ميتا.
17:3:Dialogue Text	تبدو مضطربا. هل أعرض عليك بعض اللحم المعاد ترطيبه؟
17:4:Dialogue Text	لست في مزاج يسمح باللحم الآن!
17:5:Dialogue Text	لكن هذا ليس مجهولا، إنه ديك رومي.
17:6:Dialogue Text	على ما أظن...
17:7:Dialogue Text	هذا هو مصدر التغذية الوحيد المتبقي على السفينة. سيتعين عليك البحث عن قوتك في مكان آخر.
17:8:Dialogue Text	هل يفترض بي البحث عن نباتات أم اصطياد حيوانات؟ لا أملك حتى سلاحا.
17:9:Dialogue Text	أظن أن بإمكاني المساعدة في ذلك.
19:1:Dialogue Text	يا سلام. شكرا.
19:2:Dialogue Text	بعد قرون من الإهمال، نما الصغير ثم مات وتحجر. فصنعت منه أداة نجاة متعددة الاستخدامات.
19:3:Dialogue Text	إنها عصا.
19:4:Dialogue Text	إنها عصا نجاة متعددة الاستخدامات. يمكنك الصيد بها، والاتكاء عليها في الترحال، والتظاهر بأنك ساحر يطير على مكنسة. السماء هي الحد.
19:5:Dialogue Text	سأحاول الاستفادة منها. هل من اقتراح عن وجهتي؟
19:6:Dialogue Text	ألتقط <color=red>إشارة إلكترونية خافتة </color>قادمة من الشرق.
19:7:Dialogue Text	تحمل تشفيرا متقدما لا أستطيع فكه. لكن شيئا ما يحثني على الذهاب إلى مصدر الإشارة.
19:8:Dialogue Text	كما ينبغي أن نستكشف المحيط القريب...
19:9:Dialogue Text	وبهذا نجد مواد <color=red>لإصلاح وحدة الفضاء </color>أيضا.
40:1:Dialogue Text	تلك <color=red>المسلة</color> هي مصدر الإشارة.
40:2:Dialogue Text	الإشارة... ما هي؟
40:3:Dialogue Text	الإشارة نبضة كهربائية أو موجة راديوية.
40:4:Dialogue Text	لكن هذا ليس مهما الآن.
40:6:Dialogue Text	أريدك أن تركز على <color=red>المسلة</color>.
40:8:Dialogue Text	كل نظام فرعي لدي يصرخ بأن نتجه إلى هناك.
40:9:Dialogue Text	كما تشاء.
40:10:Dialogue Text	لنتجه إلى البناء المشؤوم. ليس وكأن بإمكاني أن أزيد وضعي سوءا.
59:1:Dialogue Text	ترى ما عسى هذا يكون يا صاح؟
59:2:Dialogue Text	هل هذه محاولة للهجة رعاة البقر؟ هل بدأت حياة البراري تنال من قواك العقلية؟
59:3:Dialogue Text	أحاول التسلية قليلا، دعني وشأني.
59:4:Dialogue Text	هذا الجهاز يبث الإشارة نفسها التي تبثها <color=red>المسلة</color>.
59:5:Dialogue Text	يبدو أن الإشارة تعمل كطريق سريع للذرات.
59:6:Dialogue Text	هذا يعني الانتقال الآني، صحيح؟
59:7:Dialogue Text	بالضبط. لا بد من وجود <color=#16D465>محطة</color> مماثلة أخرى داخل <color=red>المسلة</color>.
59:8:Dialogue Text	لنشغل هذا الشيء إذا. هل هو خطر؟
59:9:Dialogue Text	...
59:10:Dialogue Text	لا.
59:11:Dialogue Text	لقد استغرقت وقتا طويلا قبل أن تجيب.
59:12:Dialogue Text	...
59:13:Dialogue Text	لم أستغرق.
59:14:Dialogue Text	تجاوزنا نقطة اللاعودة أصلا، لا يهم. لنشغله ونر ما سيحدث.
55:1:Dialogue Text	...
55:2:Dialogue Text	...
55:3:Dialogue Text	هل نحن بخير؟
55:4:Dialogue Text	قل شيئا!
55:5:Dialogue Text	كنت أراقب.
55:6:Dialogue Text	تراقب <i>ماذا</i>؟
55:7:Dialogue Text	كنت أجري تقييما غير رسمي لاحتمال... تراجع الكفاءة الدماغية بفعل الانتقال الآني.
55:8:Dialogue Text	...
55:9:Dialogue Text	النتائج غير حاسمة. أحتاج بيانات أكثر.
55:10:Dialogue Text	أحتاج كيسا أتقيأ فيه.
55:11:Dialogue Text	غثيان، وربما ليس غباء. تقدم.
55:12:Dialogue Text	ينبغي أن نتفقد المكان، مستشعراتي تكاد تجن من إشارات الطاقة.
56:1:Dialogue Text	تلك الآلة هي مصدر الإشارة.
56:2:Dialogue Text	يجب علينا حتما أن نضغط ذلك الزر.
56:3:Dialogue Text	لماذا؟
56:4:Dialogue Text	ثمة ما يحجب بنوك ذاكرتي، كل ما أعرفه أن عليك ضغط الزر.
56:5:Dialogue Text	ليس لدينا ما نخسره، صحيح؟
57:1:Dialogue Text	تم. وماذا الآن؟
57:2:Dialogue Text	...
57:3:Dialogue Text	O.R.B.؟
57:4:Dialogue Text	تم تحديث التعليمات.
57:5:Dialogue Text	وفقا للمادة 59، البند الفرعي 8، في الصفحة 3589 من دليل موظفي Tlön، أنت حاليا في حالة مخالفة لسياسة الشركة.
