# تعريب Kentum — متفرقات (الزعماء، الوقت، الأحداث، عملة المسلّة)
key	ar

# ── الزعماء ──
Boss_Z0_Name	ملكة التيرادوزا
Boss_Z0_Description	كرة طاقة عملاقة واعية تغطي نفسها بجذب النباتات والتربة من حولها. وتطلق دفقات برق مفاجئة كآلية دفاع. وبصفتها ملكة، تملك القدرة على توليد تيرادوزات أصغر كلما فاضت طاقتها.

# ── تصنيفات الموسوعة ──
CharacterData_Type_Fauna	الحيوانات
CharacterData_Type_Flora	النباتات
CharacterData_Type_ResourceNode	عقدة موارد
CharacterData_Type_World	العالم
Character_ORB	O.R.B
Map_Zone_Unknown	مجهولة

# ── الحالات السلبية ──
DebuffData_BlobSlow_Name	ملتصق
DebuffData_BlobSlow_Description	قطع الهلام تبطئ حركتك.
DebuffData_GelExplosionSlow_Name	مهلّم
DebuffData_GelExplosionSlow_Description	الهلام المتفجر يبطئ حركتك لفترة.
DebuffData_Wet_Name	مبلّل
DebuffData_Wet_Description	أنت أكثر عرضة للضرر الكهربائي. ولنزلة برد أيضًا.

# ── عملات المسلّة ──
MonolithItem_Agriculture_Name	نقاط البذور
MonolithItem_Agriculture_Description	إحدى عملات تلون الكثيرة. أودع البذور للحصول عليها.
MonolithItem_BioGen_Name	نقاط الحيوية الوراثية
MonolithItem_BioGen_Description	إحدى عملات تلون الكثيرة. أودع البذور للحصول عليها.
MonolithItem_Infra_Name	نقاط البنية التحتية
MonolithItem_Infra_Description	إحدى عملات تلون الكثيرة. أودع البذور للحصول عليها.
MonolithItem_Tech_Name	نقاط التقنية
MonolithItem_Tech_Description	إحدى عملات تلون الكثيرة. أودع البذور للحصول عليها.
Monolith_Storage_Agriculture	المخزون الزراعي
Monolith_Storage_Biology	المخزون الحيوي
Monolith_Storage_Infrastructure	مخزون البنية التحتية
Monolith_Storage_Technology	مخزون التقنية
Monolith_Storage_Interaction	قاعدة بيانات مخزون المسلّة

# ── الانتقال المحمول ──
Portable_Teleport_Item_Name	جهاز الانتقال المحمول
Portable_Teleport_Item_Description	جهاز انتقال محمول يعيدك إلى القاعدة. تضعه على الأرض ويُستخدم مرة واحدة فقط. ولا يمكنك وضع أكثر من واحد في الوقت نفسه.

# ── الوقت والفصول ──
Time_Spring	الربيع
Time_Summer	الصيف
Time_Autumn	الخريف
Time_Winter	الشتاء
Time_Day	يوم واحد
Time_Days	{0} يوم
Time_Hour	ساعة واحدة
Time_Hours	{0} ساعة
Time_LessThanHour	<ساعة

# ── أحداث العالم ──
WorldEvent_AcidRain_Name	مطر حمضي
WorldEvent_FallingRocks_Name	انهيار صخري
WorldEvent_FallingRocks_Description	بين الحين والآخر تنهار الصخور داخل الكهوف. انتبه لرأسك.
WorldEvent_HeavyThunderstorm_Name	عاصفة رعدية شديدة
WorldEvent_HeavyThunderstorm_Description	عاصفة كهربائية شديدة. احذر البرق.
