# تعريب Kentum — العناصر
#
# اكتب العربية عادية منطقية. حافظ على وسوم <color=...> و<b> كما هي بالضبط.
#
# اصطلاحات: سبيكة=Ingot، خام=Ore، مسحوق=Dust، نواة=Core، صفيحة=Sheet،
# خيط=Thread، شبكة=Mesh، ألياف=Fiber، بصيلة=Bulb، غدة=Gland، عيّنة=Specimen،
# فاسد=Spoiled/Rotten/Decayed، جرعة=Potion، طبق=Dish.
# أسماء المعادن والمخلوقات المخترعة تُنقل حرفيًا (دورانيوم، ديامونايت...).
#
key	ar

# ── مواد أساسية ──
Item_Stone_Name	حجر
Item_Stone_Description	حجر.
Item_StoneBlock_Name	حجر منحوت
Item_StoneBlock_Description	قطعة صخر نحتت آليا.
Item_Dirt_Name	حجر جيري
Item_Dirt_Description	صخر رسوبي يمكن استخدامه لصنع الطين.
Item_LimestoneDust_Name	حجر جيري مسحوق
Item_LimestoneDust_Description	حجر جيري مكرر إلى حبيبات.
Item_Clay_Name	طين
Item_Clay_Description	مادة ترابية طبيعية توجد في العقد ويمكن تصنيعها أيضا.
Item_CeramicIngot_Name	خزف
Item_CeramicIngot_Description	قطعة خزفية مصنوعة من الطين.
Item_Cement_Name	إسمنت
Item_Cement_Description	مادة رابطة تستخدم في الخرسانة وكتل البناء.
Item_Coal_Name	فحم
Item_Coal_Description	كتلة من الفحم.
Item_CharcoalDust_Name	فحم مسحوق
Item_CharcoalDust_Description	فحم مكرر إلى حبيبات.
Item_Twig_Name	غصين
Item_Twig_Description	قطعة خشب صغيرة.
Item_Glass_Name	زجاج
Item_Glass_Description	مادة شفافة تنجح بطريقة ما في أن تكون هشة وضرورية في آن واحد.
Item_GlassSheet_Name	صفيحة زجاج
Item_GlassSheet_Description	صفيحة رقيقة من الزجاج.
Item_Cloth_Name	قماش
Item_Cloth_Description	قطعة قماش منسوجة.
Item_BareBond_Name	غراء
Item_BareBond_Description	مادة لزجة تستخدم لربط المواد ببعضها.
Item_SpaceJunk_Name	حطام كوني
Item_SpaceJunk_Description	كتلة خردة سقطت من المدار. تحتوي على قطع من البلاستيك والنحاس والأسلاك واللوحات الإلكترونية.

# ── المعادن والخامات ──
Item_CopperOre_Name	خام النحاس
Item_CopperOre_Description	مادة موصلة ومتعددة الاستخدامات.
Item_CopperIngot_Name	سبيكة نحاس
Item_CopperIngot_Description	سبيكة مصنوعة من النحاس.
Item_CopperThread_Name	خيط نحاسي
Item_CopperThread_Description	خيط مصنوع من النحاس.
Item_GoldOre_Name	كتلة ذهب
Item_GoldOre_Description	قطعة معدنية من الذهب الخالص.
Item_GoldIngot_Name	سبيكة ذهب
Item_GoldIngot_Description	سبيكة مصنوعة من الذهب.
Item_GoldThread_Name	خيط ذهبي
Item_GoldThread_Description	خيط موصل لازم للدارات والأجهزة الإلكترونية.
Item_PlatinumOre_Name	خام البلاتين
Item_PlatinumOre_Description	معدن بلاتين مكرر.
Item_PlatinumIngot_Name	سبيكة بلاتين
Item_PlatinumIngot_Description	سبيكة مصنوعة من البلاتين.
Item_PlatinumThread_Name	خيط بلاتيني
Item_PlatinumThread_Description	خيط موصل مصنوع من البلاتين.
Item_SilicaOre_Name	خام السيليكا
Item_SilicaOre_Description	معدن يستخدم في تصنيع المكونات الإلكترونية.
Item_SiliconIngot_Name	سبيكة سيليكون
Item_SiliconIngot_Description	قالب مكرر من السيليكون.
Item_SiliconSheet_Name	صفيحة سيليكون
Item_SiliconSheet_Description	صفيحة مصنوعة من السيليكون.
Item_Duranium_Name	خام الدورانيوم
Item_Duranium_Description	معدن صلب معمر لا يتأثر بالتآكل أو التحلل.
Item_DuraniumIngot_Name	سبيكة دورانيوم
Item_DuraniumIngot_Description	قالب صلب من معدن متين معمر، مثالي لبناء منشآت طويلة العمر مقاومة للتآكل.
Item_DuraniumSheet_Name	صفيحة دورانيوم
Item_DuraniumSheet_Description	صفيحة مصنوعة من الدورانيوم.
Item_DuraniumCore_Name	نواة دورانيوم
Item_DuraniumCore_Description	مادة كثيفة مصنوعة من دورانيوم مركز.
Item_DuraniumHyperCore_Name	نواة دورانيوم فائقة
Item_DuraniumHyperCore_Description	مصدر طاقة متقدم مصنوع من الدورانيوم.
Item_TrashiumOre_Name	خام التراشيوم
Item_TrashiumOre_Description	معدن كثيف مغناطيسي يشبه السبج.
Item_TrashiumIngot_Name	سبيكة تراشيوم
Item_TrashiumIngot_Description	سبيكة مصنوعة من خام التراشيوم.
Item_PlasmiumIngot_Name	سبيكة بلازميوم
Item_PlasmiumIngot_Description	سبيكة متقدمة تصنع بدمج البلاستيك والدورانيوم.
Item_Diamond_Name	ألماس
Item_Diamond_Description	من أصلب المواد الموجودة، يتكون من الكربون في صورة متبلورة.
Item_DiamoniteIngot_Name	سبيكة ديامونايت
Item_DiamoniteIngot_Description	سبيكة بلورية مصنوعة من الديامونايت.
Item_DiamoniteCore_Name	نواة ديامونايت
Item_DiamoniteCore_Description	نواة مصنوعة من الديامونايت.
Item_BloodCrystalOre_Name	خام كريستال الدم
Item_BloodCrystalOre_Description	بلورة قرمزية مفعمة بخصائص مذهلة.
Item_BloodCrystalIngot_Name	سبيكة كريستال الدم
Item_BloodCrystalIngot_Description	سبيكة مصنوعة من كريستال الدم.
Item_BloodCrystalDust_Name	مسحوق كريستال الدم
Item_BloodCrystalDust_Description	كريستال دم مكرر إلى حبيبات.
Item_BloodCrystalCore_Name	نواة كريستال الدم
Item_BloodCrystalCore_Description	نواة مصنوعة من كريستال الدم.
Item_GraphiteIngot_Name	سبيكة غرافيت
Item_GraphiteIngot_Description	قالب مصنوع من الغرافيت.
Item_GraphineSheet_Name	صفيحة غرافين
Item_GraphineSheet_Description	صفيحة قوية موصلة مصنوعة من الغرافين.
Item_CarbonNanotubes_Name	أنابيب كربون نانوية
Item_CarbonNanotubes_Description	مادة أنبوبية مجوفة مصنوعة من الكربون.
Item_EnergyCrystal_Name	بلورة طاقة
Item_EnergyCrystal_Description	بلورة متوهجة تختزن الطاقة.

# ── البلاستيك ──
Item_Microplastics_Name	كتلة بلاستيك دقيق
Item_Microplastics_Description	كتلة من قطع بلاستيكية صغيرة متجمعة.
Item_PlasticBrick_Name	قالب بلاستيك
Item_PlasticBrick_Description	قالب بلاستيكي خفيف ومتين، مصنوع من بلاستيك عالي الكثافة.
Item_PlasticSheet_Name	صفيحة بلاستيك
Item_PlasticSheet_Description	صفيحة بلاستيكية خفيفة ومرنة ومتينة.

# ── الإلكترونيات ──
Item_CircuitBoard_Name	لوحة دارات
Item_CircuitBoard_Description	مكون أساسي لبناء الآلات والإلكترونيات وأنظمة الأتمتة.
Item_ComputerChipGen1_Name	شريحة حاسوب من الجيل الأول
Item_ComputerChipGen1_Description	شريحة حاسوب بسيطة.
Item_ComputerChipGen2_Name	شريحة حاسوب من الجيل الثاني
Item_ComputerChipGen2_Description	شريحة حاسوب متقدمة.
Item_ComputerChipGen3_Name	شريحة حاسوب من الجيل الثالث
Item_ComputerChipGen3_Description	شريحة حاسوب متقدمة جدا جدا.
Item_Motherboard_Name	اللوحة الأم
Item_Motherboard_Description	لوحة دارات بسيطة مصنوعة بشرائح الجيل الأول.
Item_Fatherboard_Name	اللوحة الأب
Item_Fatherboard_Description	لوحة دارات متقدمة مصنوعة بشرائح الجيل الثاني.
Item_Motherbrain_Name	الدماغ الأم
Item_Motherbrain_Description	لوحة دارات متقدمة جدا جدا مصنوعة بشرائح الجيل الثالث.
Item_NeuroplasticMatrix_Name	مصفوفة عصبية بلاستيكية
Item_NeuroplasticMatrix_Description	خلايا عصبية اصطناعية تستخدم في بنى الذكاء الاصطناعي.
Item_MonolithMind_Name	عقل المسلة
Item_MonolithMind_Description	الإنجاز الأسمى للعلم الحديث.

# ── الألياف والأنسجة ──
Item_PlantFiber_Name	ألياف نباتية
Item_PlantFiber_Description	مادة ليفية خيطية توجد داخل بعض النباتات.
Item_BiotechFiber_Name	ألياف حيوية تقنية
Item_BiotechFiber_Description	خيط مرن مهندس حيويا يستخدم في الأقمشة والزرعات المتقدمة.
