# تعريب Kentum — المهام
#
# ⚠ هذا الملف يستخدم عناصر نائبة مُسمّاة: {itemDef:X} و{tech:X} و{baseExpansion:X}
#   تُستبدل باسم العنصر أو التقنية وقت التشغيل. انقلها كما هي حرفًا بحرف —
#   حتى حالة الأحرف — وحرّك موضعها في الجملة فقط.
#
# أسماء المهام في الأصل مليئة بالتوريات والإشارات الثقافية. حافظتُ على روح
# الطرافة بصياغة عربية موازية بدل الترجمة الحرفية التي تقتل النكتة.
#
key	ar

# ── المهام الرئيسية ──
QuestData_Main_1_Name	إشارة؟
QuestData_Main_1_Task0_Name	حدد مصدر الإشارة الغريبة
QuestData_Main_2_Name	بناء؟
QuestData_Main_2_Task0_Name	تحقق من أمر المسلة الغريبة
QuestData_Main_2B_Name	شيء ما يتخمر
QuestData_Main_2B_Task0_Name	شيد {baseExpansion:base_Grinder}
QuestData_Main_2C_Name	عصير العبقرية
QuestData_Main_2C_Task0_Name	اخلط {itemDef:GrindedCoffeeBeans} واصنع {itemDef:CognitiveFluid_A} ({0}/{1})
QuestData_MQ_Tutorial_2_5_Name	اضغط الزر
QuestData_MQ_Tutorial_2_5_Task0_Name	ما أسوأ ما قد يحدث؟
QuestData_MQ_Tutorial_3_Name	قوة الدماغ!
QuestData_MQ_Tutorial_3_Task0_Name	شيد دماغ البحث
QuestData_MQ_Tutorial_5_Task1_Name	شيد {baseExpansion:base_CognitiveFluidMachine}
QuestData_MQ_Tutorial_7_0_Name	عصا تنفع
QuestData_MQ_Tutorial_7_0_Task0_Name	ابحث في تقنية {tech:Tech_Base_StaffTech_Staff}
QuestData_MQ_PreSabotage_Name	انفجار؟
QuestData_MQ_PreSabotage_Task0_Name	اكتشف ما حدث
QuestData_MQ_Sabotage	خطة بديلة
QuestData_MQ_Sabotage_Name	اعثر على المحطة الاحتياطية
QuestData_MQ_PostSabotage_Name	حافظ على هدوئك وواصل العمل
QuestData_MQ_PostSabotage_Description	واصل مشروع «شروق الصباح»
QuestData_MQ_CloneControl_1_Name	التحكم بالنسخ
QuestData_MQ_CloneControl_1_Task0_Name	ادخل غرفة قاعدة البيانات المخفية وتجاوز إعدادات TLON
QuestData_MQ_FumigateMonolith_Name	بروتوكولات الإبادة
QuestData_MQ_FumigateMonolith_Task	شيد {baseExpansion:base_Detonator}
QuestData_MQ_KickstartCivilization_Name	أعد تشغيل البشرية!
QuestData_MQ_KickstartCivilization_Task0_Name	اضغط الزر الأخير في المسلة
QuestData_MQ_Credits_Name	انتهى العرض يا كينت
QuestData_MQ_Credits_Description	اذهب وشاهد المسلة
QuestData_MQ_Watch_Name	دلل نفسك
QuestData_MQ_Watch_Description	اذهب واستلم جائزتك التي تستحقها في وحدة الفضاء.

# ── الإصلاح والنجاة ──
QuestData_SQ_BaseRepair_0_Name	بيتي المائل الحبيب
QuestData_SQ_BaseRepair_0_Task0_Name	أصلح هيكل وحدة الفضاء
QuestData_BuildBaseExpansion_Name	توسيع القاعدة
QuestData_BuildBaseExpansion_Task0_Name	شيد {tech:expansionModule}
QuestData_Survival_Name	أساسيات النجاة
QuestData_Survival_Task0_Name	شيد {baseExpansion:base_cookingZone}
QuestData_Survival_Task1_Name	اطبخ طبقا
QuestData_Survival_Task2_Name	اسد جوعك
QuestData_SQ_Survival_3_Name	نوم الشفاء
QuestData_SQ_Survival_3_Task0_Name	أصلح وحدة السبات
QuestData_SQ_Survival_4_Name	تعزيزات النسخ
QuestData_SQ_Survival_4_Task0_Name	أصلح وحدة التعزيز الاستنساخي
QuestData_SQ_Survival_5_Name	يوتوبيا الهضم
QuestData_SQ_Survival_5_Task0_Name	افتح تعزيز البروبيوتيك المحسن
QuestData_EnvironmentAnalysis_Name	عاشق الهواء الطلق
QuestData_EnvironmentAnalysis_Task0_Name	امسح الحيوانات ({0}/{1})
QuestData_EnvironmentAnalysis_Task1_Name	امسح النباتات ({0}/{1})

# ── الإنتاج ──
QuestData_MQ_Production_1_Name	عصر الصناعة
QuestData_MQ_Production_1_Task0_Name	ابحث في {tech:tech_CharcoalKiln}
QuestData_MQ_Production_2_Name	منقب الفحم
QuestData_MQ_Production_2_Task0_Name	شيد {baseExpansion:base_charcoalKiln}
QuestData_MQ_Production_3_Name	بارون الفحم
QuestData_MQ_Production_3_Task0_Name	اصنع {itemDef:Coal} ({0}/{1})
QuestData_MQ_Production_3_5_Name	إمبراطورية الفحم
