# تعريب Kentum — نصوص الواجهة
#
# اكتب العربية عادية منطقية — لا تشكّل الحروف ولا تعكسها، الإضافة تتولى ذلك.
# السطر الجديد يُكتب \n حرفيًا. حافظ على {0} ووسوم <...> كما هي بالضبط.
# خلية فارغة أو مفتاح غير مذكور = يظهر بالإنجليزية، وهذا آمن تمامًا.
#
# مفاتيح تُركت عمدًا بلا ترجمة:
#   UI_Language_*          أسماء اللغات تُكتب بلغتها الأصلية
#   UI_MainMenu_Copyright  إشعار حقوق قانوني
#   UI_Interaction_Unknow  رمز "????"
#   *_MultiplierFormat     صيغ أرقام بحتة
#
key	ar

# ── القائمة الرئيسية ──
UI_MainMenu_NewGame	لعبة جديدة
UI_MainMenu_Continue	متابعة
UI_MainMenu_Load	تحميل
UI_MainMenu_Quit	خروج
UI_MainMenu_Credits	فريق العمل
UI_MainMenu_JoinDiscord	انضم إلى ديسكورد
UI_MainMenu_Connecting	جار الاتصال...
UI_MainMenu_NoSaveSlot_Title	لا توجد خانة حفظ متاحة
UI_MainMenu_NoSaveSlot_Description	الحد الأقصى لخانات الحفظ هو {0}. عليك حذف خانة موجودة لبدء لعبة جديدة.
UI_MainMenu_BuyNow	اشتر Kentum!
UI_MainMenu_BuyNow_Detail	واصل تقدمك في اللعبة الكاملة!
UI_MainMenu_ContinueProgressDemo_Title	واصل تقدمك من النسخة التجريبية!
UI_MainMenu_ContinueProgressDemo_Description	سينقل تقدمك إلى ملف حفظ جديد.
UI_MainMenu_DemoVersion	النسخة التجريبية
UI_MainMenu_Wishlist	أضفها لقائمة أمنياتك على Steam
UI_MainMenu_Wishlist_PS5	أضفها لقائمة أمنياتك!
UI_MainMenu_Wishlist_Xbox	أضفها لقائمة أمنياتك!

# ── عام ──
UI_General_Options	الخيارات
UI_General_Continue	متابعة
UI_General_Select	اختيار
UI_General_Cancel	إلغاء
UI_General_Close	إغلاق
UI_General_Confirm	تأكيد
UI_General_ControlsTitle	التحكم
UI_General_Coop	لعب تعاوني
UI_General_Enabled	مفعل
UI_General_Disabled	معطل
UI_General_No	لا
UI_General_GoMainMenu	الخروج إلى القائمة الرئيسية
UI_General_OpenKB	الموسوعة
UI_General_Pin	تثبيت
UI_General_Unpin	إلغاء التثبيت
UI_General_QuickSave	حفظ سريع
UI_General_Resume	استئناف
UI_General_SaveQuit	حفظ وخروج
UI_General_TimePlayed	وقت اللعب: {0}
UI_General_Unlock	فتح
UI_General_Year	السنة
UI_General_LockedInDemo	<align="center"><uppercase>غير متاح في النسخة التجريبية</uppercase></align>
UI_Player	اللاعب {0}
UI_PressAnyButton	«اضغط أي زر»
UI_DeviceDisconnected	انقطع اتصال الجهاز

# ── الإعدادات ──
UI_Options_General	عام
UI_Options_Graphics	الرسوميات
UI_Options_Audio	الصوت
UI_Options_Controls	التحكم
UI_Options_Save	حفظ
UI_Options_Language	اللغة
UI_Options_VOLanguage	لغة الأداء الصوتي
UI_Options_VOLanguage_SameAsLanguage	الافتراضية
UI_Options_Resolution	دقة الشاشة
UI_Options_Quality	جودة الرسوميات
UI_Options_FullScreenMode	وضع ملء الشاشة
UI_Options_FullScreenMode_ExclusiveFullScreen	ملء الشاشة الحصري
UI_Options_FullScreenMode_FullScreenWindow	نافذة بلا حدود
UI_Options_FullScreenMode_MaximizedWindow	نافذة مكبرة
UI_Options_FullScreenMode_Windowed	وضع النافذة
UI_Options_Audio_Master	الصوت العام
UI_Options_Audio_Music	الموسيقى
UI_Options_Audio_SFX	المؤثرات الصوتية
UI_Options_Audio_Voices	الأصوات
UI_Options_Audio_Alerts	التنبيهات
UI_Options_AutoSave	الحفظ التلقائي
UI_Options_Autopickup	الالتقاط التلقائي
UI_Options_AutoUnpin	إلغاء التثبيت تلقائيا عند التصنيع
UI_Options_Rumble	الاهتزاز
UI_Options_Rumble_PS	الاهتزاز
UI_Options_HDRumble	اهتزاز عالي الدقة
UI_GraphicsQuality_Low	منخفضة
UI_GraphicsQuality_Medium	متوسطة
UI_GraphicsQuality_High	عالية

# ── الإيقاف المؤقت ──
UI_Pause_GoDesktop	الخروج إلى سطح المكتب
UI_Pause_ConfirmExit	هل تريد الخروج فعلا؟\nسيحفظ تقدمك حتى هذه النقطة.
UI_Pause_ConfirmMenu	هل تريد العودة إلى القائمة فعلا؟
UI_Pause_ConfirmDesktop	هل تريد إغلاق اللعبة فعلا؟
UI_Pause_ProgressSaved	سيحفظ تقدمك تلقائيا.

# ── الحفظ ──
UI_Saves_Title	ملفات الحفظ
UI_Saves_Delete	حذف
UI_Saves_Day	اليوم {0}
UI_Saves_Corrupted	تالف
UI_Saves_DeletePopupTitle	حذف ملف الحفظ؟
UI_Saves_DeletePopupDescription	لا يمكن التراجع عن هذا الإجراء.
UI_Saves_GeneralInfo	نسخة {0} - {1}
UI_Saves_InvalidSave	إصدار غير صالح ({0}.{1})
UI_SavePopup_NoSpace_Title	فشل الحفظ
UI_SavePopup_NoSpace_Description	حاولت اللعبة الحفظ لكن المساحة غير كافية. أفرغ بعض المساحة ثم أعد المحاولة.
UI_SavePopup_NoSpace_Retry	إعادة المحاولة
UI_Saving_Disclaimer	جار الحفظ...

# ── المخزون والحقيبة ──
UI_Inventory_Title	المخزون
UI_Inventory_Consume	استهلاك
UI_Inventory_Drop	إسقاط
UI_Inventory_Place	وضع
UI_Inventory_QuickUse	تعيين للاستخدام السريع
UI_Bag_CompletelyFull	الحقيبة ممتلئة تماما
UI_Bag_NoSlots	لا توجد خانات فارغة في الحقيبة
UI_Bag_Leftovers	الفائض
UI_Minimap_Bag	الحقيبة
UI_HUD_BagFull_Notice	لا توجد مساحة
UI_HUD_NewEntryAdded	أضيف مدخل جديد

# ── التصنيع ──
UI_GenericCrafting_Craft	تصنيع
UI_GenericCrafting_Build	بناء
UI_GenericCrafting_CraftAndConsume	تصنيع واستهلاك
UI_GenericCrafting_AreYouSure	هل أنت متأكد؟
UI_Crafting_ChangeRecipe	تغيير الوصفة
UI_Crafting_ClearQueue	إفراغ الطابور
UI_Crafting_ClearQueue_Hold	إفراغ الطابور (استمر بالضغط)
UI_Crafting_CraftNConsume	تصنيع واستهلاك
UI_Crafting_Pickup	التقاط
UI_Cooking_Craft	طهي
UI_Cooking_CraftAndConsume	اطبخ وكل
UI_Brewery_Craft	تخمير
UI_Brewery_CraftAndConsume	خمر واشرب
UI_NoMoreRecipesInMachine	ابحث عن وصفات أخرى في العالم!
UI_UniqueCrafting_ClearButton	إفراغ
UI_UniqueCrafting_ClearPopupTitle	إزالة العنصر المعين
UI_UniqueCrafting_MakeCompostButton	صنع سماد
UI_UniqueCrafting_ReadyToCraft	جاهز للتصنيع
UI_InfoPanel_Automatable	قابل للأتمتة

# ── التصنيع الآلي ──
UI_AutomatedCrafting_Title	التصنيع الآلي
UI_AutomatedCrafting_Automated	آلي
UI_AutomatedCrafting_Manual	يدوي
UI_AutomatedCrafting_Input	الإدخال
UI_AutomatedCrafting_Output	الإخراج
UI_AutomatedCrafting_Owned	متوفر في القاعدة
UI_AutomatedCrafting_Stored	مخزن
UI_AutomatedCrafting_Queue_Title	الطابور
UI_AutomatedCrafting_SelectRecipeTitle	اختر وصفة
UI_AutomatedCrafting_PickUpButton	التقاط
UI_AutomatedCraftingPanel_AutomatedRecipe	الوصفة الآلية
UI_AutomatedCraftingPanel_AutomatedRecipeClearButton	إلغاء الوصفة الآلية
UI_AutomatedCraftingPanel_AutomatedRecipeSelectButton	تعيين وصفة آلية
UI_AutomatedCraftingPanel_AutomatedRecipeUnselected	لم يتم اختيار وصفة آلية
UI_AutomatedCraftingPanel_State_Crafting	جار التصنيع...
UI_AutomatedCraftingPanel_State_NeedsInput	بحاجة إلى مواد
UI_AutomatedCraftingPanel_State_Waiting	في الانتظار

# ── توسعة القاعدة ──
UI_BaseExpansion_Title	توسعة القاعدة
UI_BaseExpansion_SettingsButton	الإعدادات
UI_BaseExpansion_Subcategory_Crafting	التصنيع
UI_BaseExpansion_Subcategory_Storage	التخزين
UI_BaseExpansion_BuildButton	بناء
UI_BaseExpansion_BuildContinueButton	شيد وتابع
UI_BaseExpansion_ScrapButton	تفكيك
UI_BaseExpansion_MoveButton	نقل
UI_BaseExpansion_RotateButton	تدوير
UI_BaseExpansion_FlipButton	قلب
UI_BaseExpansion_ReplaceButton	استبدال
UI_BaseExpansion_SwapButton	تبديل
UI_BaseExpansion_CraftMode	وضع التصنيع
UI_BaseExpansion_EditMode	وضع التعديل
UI_BaseExpansion_CantBuild	لا يمكن البناء:
UI_BaseExpansion_CantReplace	لا يمكن الاستبدال:
UI_BaseExpansion_CantScrap	لا يمكن التفكيك:
UI_BaseExpansion_Requirement_AlreadyConstructed	- محاولة استبدال الشيء نفسه
UI_BaseExpansion_Requirement_Background	- يتطلب خلفية
UI_BaseExpansion_Requirement_BiggerStorageSlot	- يجب أن يكون التخزين البديل بالحجم نفسه أو أكبر
UI_BaseExpansion_Requirement_Blocked	- منطقة محجوبة
UI_BaseExpansion_Requirement_Ceiling	- يتطلب سقفا
UI_BaseExpansion_Requirement_DrillableVein	- يتطلب عرقا قابلا للحفر
UI_BaseExpansion_Requirement_Floor	- يتطلب أرضية
UI_BaseExpansion_Requirement_FloorOrTable	- يتطلب أرضية أو طاولة
UI_BaseExpansion_Requirement_FloorOrWall	- يتطلب أرضية أو جدارا أسفله
UI_BaseExpansion_Requirement_InsideBase	- داخل القاعدة
UI_BaseExpansion_Requirement_NothingToReplace	- لا يوجد ما يستبدل
UI_BaseExpansion_Requirement_OutsideBase	- خارج القاعدة
UI_BaseExpansion_Requirement_OutsideReach	- خارج نطاق الوصول
UI_BaseExpansion_Requirement_SideWall	- يتطلب بلاطة صلبة مجاورة
UI_BaseExpansion_Requirement_Space	- المكان مشغول بالفعل
UI_BaseExpansion_Requirement_Table	- يتطلب طاولة
UI_BaseExpansion_Requirement_TwoVeins	- لا يمكن للمثقاب أن يمتد على عرقين منفصلين
UI_BaseExpansion_ScrapReason_CurrentCrafting	- الآلة تعمل حاليا
UI_BaseExpansion_ScrapReason_Dependency	- لا يمكن إزالة شيء تعتمد عليه أشياء أخرى
UI_BaseExpansion_ScrapReason_HasItems	- يحتوي على عناصر بداخله
UI_BaseExpansion_Settings_AutomationRecipe	الوصفة الآلية
UI_BaseExpansion_Settings_ItemFilter	مرشح العناصر
UI_BaseExpansion_Settings_ItemFilter_Forward	مرشح العناصر — للأمام
UI_BaseExpansion_Settings_ItemFilter_Side	مرشح العناصر — جانبي
UI_BaseExpansion_Automation_Floor	الطابق
UI_BaseExpansion_Automation_From	من:
UI_BaseExpansion_Automation_To	إلى:
UI_BaseExpansion_Automation_FromTo	من {0} إلى {1}
UI_BaseExpansion_Automation_Item	- {0}
UI_BaseExpansion_Automation_None	لا شيء
UI_BaseExpansionOptions_ClearAll	إلغاء الكل
UI_BaseExpansionOptions_ClearTab	إلغاء التبويب
UI_BaseExpansionOptions_SelectAll	تحديد الكل
UI_BaseExpansionOptions_SelectTab	تحديد التبويب
UI_BaseExpansionPanel_RecipeTitle_Build	البناء
UI_BaseExpansionPanel_RecipeTitle_Scrap	التفكيك
UI_Base_Category_Automation	الأتمتة
UI_Base_Category_Construction	الإنشاء
UI_Base_Category_Genetics	الوراثة
UI_Base_Category_Sustenance	التغذية

# ── التخزين ──
UI_Storage_Title	التخزين
UI_Storage_LockItem	قفل
UI_Storage_UnlockItem	فتح
UI_Storage_MoveOne	نقل واحد
UI_Storage_MoveStack	نقل الكومة
UI_Storage_QuickRefill	إعادة تعبئة سريعة
UI_Storage_QuickStore	تخزين سريع
UI_Storage_TransferAll	نقل الكل
UI_Storage_TransferAllToInventory	نقل الكل (استمر بالضغط)
UI_Storage_TransferAllToStorage	نقل الكل (استمر بالضغط)
UI_Storage_CantRefill	لا شيء لإعادة تعبئته
UI_Storage_CantStore	لا شيء لتخزينه
UI_MonolithStorage_Title	المخزون التراكمي
UI_MonolithStorage_Title_Goal	الهدف

# ── الخريطة ──
UI_Map_Title	الخريطة
UI_Map_CenterButton	توسيط
UI_Map_PanButton	تحريك
UI_Map_ZoomInButton	تكبير
UI_Map_ZoomOutButton	تصغير
UI_Map_ActiveEvents_Title	الأحداث النشطة

# ── التحميل ──
UI_Loading_Loading	جار التحميل...
UI_Loading_Tip	لا تنس أنه يمكنك تثبيت الوصفات على شريط الحالة!
UI_Loading_Tip_2	عند دخولك منطقة جديدة، تذكر أن تمسح كل شيء بالماسح!
UI_Loading_Tip_3	الفصول مهمة، فالنباتات والحيوانات تتغير بتغيرها.
UI_Loading_Tip_4	استخدم الخريطة لمعرفة المناطق التي تظهر فيها النباتات والحيوانات.
UI_Loading_Tip_5	الأطباق والجرعات المختلفة تمنحك مزايا مهمة.
UI_Loading_Tip_6	O.R.B. رفيقك الدائم.
UI_Loading_Tip_7	جرب المخالب والأحزمة الناقلة لأتمتة إنتاج العناصر.
UI_Loading_Tip_8	احذر من الأحداث المناخية.
UI_Loading_Tip_9	راجع الموسوعة لتكتشف أين تجد العناصر التي تحتاجها.

# ── مفاتيح التحكم ──
UI_Keybind_Move	الحركة
UI_Keybind_Move_up	التحرك للأعلى
UI_Keybind_Move_down	التحرك للأسفل
UI_Keybind_Move_left	التحرك لليسار
UI_Keybind_Move_right	التحرك لليمين
UI_Keybind_Jump	القفز
UI_Keybind_Interact	التفاعل
UI_Keybind_Inventory	المخزون
UI_Keybind_Inventory_Drop	إسقاط
UI_Keybind_Map	الخريطة
UI_Keybind_Pause	إيقاف مؤقت
UI_Keybind_OpenKB	الموسوعة
UI_Keybind_Quick Use	الاستخدام السريع
UI_Keybind_Ability_Dash	الاندفاع
UI_Keybind_Ability_Melee	المهارة الأساسية
UI_Keybind_Ability_1	المهارة الثانوية
UI_Keybind_AbilityMenu	قائمة المهارات الثانوية
UI_Keybind_AbilityMenu_SwitchAbility1	تعيين المهارة 1
UI_Keybind_AbilityMenu_SwitchAbility2	تعيين المهارة 2
UI_Keybind_AbilityMenu_SwitchAbility3	تعيين المهارة 3
UI_Keybind_AbilityMenu_SwitchAbility4	تعيين المهارة 4
UI_Keybind_Ability_Scanner	الماسح
UI_Keybind_Ability_Light	المشعل الكهربائي
UI_Keybind_Ability_DroneMode	وضع الطائرة المسيرة
