# تعريب Kentum — المناطق ومحطات التنقل
key	ar

Zone_Z0_Base_Name	القاعدة
Zone_Z0_A_Name	التلال الصخرية
Zone_Z0_B_Name	كهف الهلام
Zone_Z0_C_Name	المحجر العميق
Zone_Z0_D_Name	كهوف الرطوبة
Zone_Z0_E_Name	أعماق الغبار
Zone_Z0_F_Name	جبل الريش
Zone_Z0_G_Name	كهوف الفولت
Zone_Z2_A_Name	مدخل الأدغال
Zone_Z2_B_Name	كهف النحاس
Zone_Z2_C_Name	خليج التنين
Zone_Z2_D_Name	الكهف النطّاط
Zone_Z2_E_Name	كهف النفايات
Zone_Z2_F_Name	متاهة الجبل
Zone_Z2_G_Name	كهف الضوء — الطابق العلوي
Zone_Z2_H_Name	كهف الضوء
Zone_Z2_I_Name	الحقل المتفجر
Zone_Z2_J_Name	ساحة الزعيم
Zone_Z2_K_Name	درب الإيمان
Zone_Z3_E_A_Name	الكهف الليفي
Zone_Z3_E_B_Name	كهف الهلام
Zone_Z3_M_A_Name	العش
Zone_Z3_W_A_Name	كهف الدرع
Zone_Z3_W_B_Name	حظيرة الدم
Zone_Z3_W_C_Name	حلبة العناكب
Zone_Z3_W_D_Name	أعشاش الحريريّات
Zone_Monolith_Int_Name	المسلّة

Zone_FastTravel_Base	القاعدة
Zone_FastTravel_Hive	الخلية
Zone_FastTravel_Hive_Core	نواة الخلية
Zone_FastTravel_Jungle	مدخل الأدغال
Zone_FastTravel_Jungle_Center	كهوف الأدغال
Zone_FastTravel_Jungle_TrashMountain	جبل نفايات الأدغال
Zone_FastTravel_Jungle_Underground	كهوف النفايات
Zone_FastTravel_Nest	العش
Zone_FastTravel_Nest_East	كهف العش الشرقي
Zone_FastTravel_Nest_West	كهف العش الغربي
