# تعريب Kentum — شجرة التقنيات
#
# اصطلاحات: تقنية=Tech، يفتح=Unlocks، المسلّة=Monolith، العصا=Staff،
# مخلب=Claw، طائرة مسيّرة=Drone، حزام ناقل=Conveyor، حوض حيوي=Vivarium،
# استنساخي=Clonal. الأرقام الرومانية تبقى كما هي لأنها تظهر في الواجهة.
# R.O.C.C.O. و Kent³ و O.R.B. أسماء علم تبقى لاتينية.
#
key	ar

# ── وحدات القاعدة ──
Tech_BaseExpansion_PARENT_Name	ترميم الوحدات
Tech_BaseExpansion_Repair_Name	إصلاحات أساسية
Tech_BaseExpansion_Repair_Description	يُصلح وحدة الفضاء المحطّمة لدعم بناء تقنيات أكثر تقدّمًا.
Tech_BaseExpansion_ExpansionModule_Name	وحدة توسعة القاعدة
Tech_BaseExpansion_ExpansionModule_Description	تتيح هذه الوحدة بناء الآلات والزينة وغيرها الكثير!
Tech_BaseExpansion_StasisRepair_Name	وحدة الشفاء الساكن
Tech_BaseExpansion_StasisRepair_Description	تُصلح وحدة الشفاء الساكن لأغراض العلاج.
Tech_BaseExpansion_ClonePod_Name	وحدة التعزيز الاستنساخي
Tech_BaseExpansion_ClonePod_Description	تفتح هذه التقنية التعزيزات الاستنساخية لترقية جسدك.
Tech_BaseExpansion_ResearchBrain_Name	دماغ البحث
Tech_BaseExpansion_ResearchBrain_Description	إنه دماغ للبحث. يُستخدم لتوسيع المعرفة البشرية.
Tech_BaseExpansion_BaseReach_Name	نطاق توسعة القاعدة
Tech_BaseExpansion_BaseReach_SizeIncrease_T1_Name	حجم القاعدة I
Tech_BaseExpansion_BaseReach_SizeIncrease_T1_Description	يزيد نطاق توسعة قاعدتك.
Tech_BaseExpansion_BaseReach_SizeIncrease_T2_Name	حجم القاعدة II
Tech_BaseExpansion_BaseReach_SizeIncrease_T2_Description	يزيد نطاق توسعة قاعدتك أكثر.
Tech_BaseExpansion_BaseReach_SizeIncrease_T3_Name	حجم القاعدة III
Tech_BaseExpansion_BaseReach_SizeIncrease_T3_Description	أقصى نطاق لتوسعة القاعدة.
Tech_BaseExpansion_MonolithTech_ExplorationAndLogistics_Name	الاستكشاف واللوجستيات
Tech_Base_BaseEngineering	هندسة القاعدة

# ── الزراعة والتغذية ──
Tech_Base_AgricultureAndSustenance_Cooking_Name	فن الطهي
Tech_Base_AgricultureAndSustenance_Cooking_T1_Name	الطهي بالغاز
Tech_Base_AgricultureAndSustenance_Cooking_T1_Description	يفتح: موقد الطهي ومجموعة من وصفات الطبخ.
Tech_Base_AgricultureAndSustenance_Cooking_T2_Name	التبريد
Tech_Base_AgricultureAndSustenance_Cooking_T2_Description	يفتح: ثلاجة السبات المُبرَّد
Tech_Base_AgricultureAndSustenance_Cooking_T3_Name	المطبخ الجزيئي
Tech_Base_AgricultureAndSustenance_Cooking_T3_Description	يفتح: طابعة الطعام
Tech_Base_Cooking_ColdStorage2_Name	التبريد 2
Tech_Base_AgricultureAndSustenance_Farming_Name	الزراعة
Tech_Base_AgricultureAndSustenance_Farming_AdvancedFarming_Name	الزراعة المائية
Tech_Base_AgricultureAndSustenance_Farming_AdvancedFarming_Description	يفتح: الحوض المائي وآلة التسميد.
Tech_Base_AgricultureAndSustenance_Farming_AdvancedSoilFarming_Name	زراعة التربة المتقدّمة
Tech_Base_AgricultureAndSustenance_Farming_Composting_Name	التسميد
Tech_Base_AgricultureAndSustenance_Farming_SeedMaking_Name	صناعة البذور
Tech_Base_AgricultureAndSustenance_Farming_SeedMaking_Description	يفتح: صانع البذور الأساسي
Tech_Base_AgricultureAndSustenance_Farming_AdvancedSeedMaking_Name	صناعة البذور الوراثية
Tech_Base_AgricultureAndSustenance_Farming_AdvancedSeedMaking_Description	يفتح: صانع البذور
Tech_Base_AgricultureAndSustenance_Farming_SeedSynthesizing_Name	تخليق البذور
Tech_Base_AgricultureAndSustenance_Farming_SeedSynthesizing_Description	يفتح: مُخلِّق البذور

# ── الأتمتة ──
Tech_Base_TechAndAutomation_Automation_Name	الأتمتة
Tech_Base_TechAndAutomation_Automation_Description	يتيح عمليات الأتمتة في القاعدة.
Tech_Base_TechAndAutomation_Automation_T1_Name	الروبوتات
Tech_Base_TechAndAutomation_Automation_T1_Description	يفتح: مخلب العامل، ومخلب الجامع، والحزام الناقل.
Tech_Base_TechAndAutomation_Automation_T2_Name	اللوجستيات
Tech_Base_TechAndAutomation_Automation_T2_Description	يفتح: الحزام الناقل العمودي، والقُمع، والموجِّه.
Tech_Base_TechAndAutomation_Automation_T3_Name	التصنيع المستوى 3
Tech_Base_TechAndAutomation_Automation_T4_Name	الروبوتات المتقدّمة
Tech_Base_TechAndAutomation_Automation_T4_Description	يفتح: مخلب العامل المتقدّم.
Tech_Base_Automation_Conveyors_Name	الأحزمة الناقلة
Tech_Base_Automation_GatherClaw_Name	الروبوتات 2
Tech_Base_AutomationAdvanced_Name	الأتمتة المتقدّمة
Tech_Base_AutomationAdvanced_Filter_Name	المرشّح
Tech_Base_AutomationAdvanced_Funnel_Name	القُمع
Tech_Base_AutomationAdvanced_Redirector_Name	الموجِّه
Tech_Base_TechAndAutomation_Drones_Name	نظام السُّعاة
Tech_Base_TechAndAutomation_Drones_T1_Name	الطائرات المسيّرة
Tech_Base_TechAndAutomation_Drones_T1_Description	يفتح: مسيّرة العامل، ومسيّرة الجامع، ومسيّرة النقل.
Tech_Base_TechAndAutomation_Drones_T2_Name	الطائرات المسيّرة — المستوى 2
Tech_Base_TechAndAutomation_Drills_Name	المعدّات المحمولة
Tech_Base_TechAndAutomation_Drills_T1_Name	الاستخراج
Tech_Base_TechAndAutomation_Drills_T1_Description	يفتح: صانع المثاقب المحمولة ووصفة مثقاب الاستخراج.
Tech_Base_TechAndAutomation_Drills_T2_Name	الانتقال الآني
Tech_Base_TechAndAutomation_Drills_T3_Name	نواة لومن

# ── البنية التحتية والإنشاء ──
Tech_Base_InfrastructureAndConstruction_Infrastructure_Name	البنية التحتية والإنشاء
Tech_Base_InfrastructureAndConstruction_Infrastructure_T1_Name	منشآت حجرية
Tech_Base_InfrastructureAndConstruction_Infrastructure_T1_Description	يفتح: منصات وجدران وجدران خلفية وأبواب حجرية.
Tech_Base_InfrastructureAndConstruction_Infrastructure_T2_Name	منشآت زجاجية
Tech_Base_InfrastructureAndConstruction_Infrastructure_T2_Description	يفتح: منصات وجدران وجدران خلفية وأبواب زجاجية.
Tech_Base_InfrastructureAndConstruction_Infrastructure_T3_Name	منشآت دورانيوم
Tech_Base_InfrastructureAndConstruction_Infrastructure_T3_Description	يفتح: منصات وجدران وجدران خلفية وأبواب من الدورانيوم.
Tech_Base_InfrastructureAndConstruction_MaterialProcessing_Name	التصنيع
Tech_Base_InfrastructureAndConstruction_MaterialProcessing_T1_Name	تقنية الفرن
Tech_Base_InfrastructureAndConstruction_MaterialProcessing_T1_Description	يفتح: الخلاط
Tech_Base_InfrastructureAndConstruction_MaterialProcessing_T2_Name	تقنية الصهر
Tech_Base_InfrastructureAndConstruction_MaterialProcessing_T2_Description	يفتح: فرن الفحم والمسبك
Tech_Base_InfrastructureAndConstruction_MaterialProcessing_T3_Name	التقنية الهيدروليكية
Tech_Base_InfrastructureAndConstruction_MaterialProcessing_T3_Description	يفتح: المكبس
Tech_Base_InfrastructureAndConstruction_MaterialProcessing_T4_Name	تقنية التكرير
Tech_Base_InfrastructureAndConstruction_MaterialProcessing_T4_Description	يفتح: وصفتَي مسحوق الفحم ومسحوق الحجر الجيري
Tech_Base_InfrastructureAndConstruction_AdvancedMaterialProcessing_Name	الحفز
Tech_Base_InfrastructureAndConstruction_AdvancedMaterialProcessing_T1_Name	أعمال الزجاج
Tech_Base_InfrastructureAndConstruction_AdvancedMaterialProcessing_T1_Description	يفتح: وصفتَي سبيكة الزجاج وصفيحة الزجاج
Tech_Base_InfrastructureAndConstruction_AdvancedMaterialProcessing_T2_Name	صفائح الزجاج
Tech_Base_InfrastructureAndConstruction_AdvancedMaterialProcessing_T2_Description	يفتح: وصفات سبيكة الغرافيت وصفيحة الغرافين وسبيكة السيليكون وصفيحة السيليكون
Tech_Base_InfrastructureAndConstruction_AdvancedMaterialProcessing_T3_Name	أشباه الموصلات
Tech_Base_InfrastructureAndConstruction_AdvancedMaterialProcessing_T4_Name	المكثفات الفائقة
Tech_Base_Catalysis_Ceramic_Name	الخزفيات
Tech_Base_Catalysis_Diamonite_Name	الديامونايت
Tech_Base_InfrastructureBasic_Stone_Name	بنية تحتية حجرية
Tech_Base_InfrastructureBasic_StoneLimestone_Name	بنية تحتية من الحجر الجيري
Tech_Base_InfrastructureBasic_Plastic_Name	بنية تحتية بلاستيكية
Tech_Base_InfrastructureBasic_Space_Name	منشآت فضائية
Tech_Base_InfrastructureBasic_SpaceRamps_Name	منحدرات فضائية
Tech_Base_InfrastructureAdvanced_Name	بنية تحتية متقدّمة
Tech_Base_InfrastructureAdvanced_Cement_Name	بنية تحتية إسمنتية
Tech_Base_InfrastructureAdvanced_Gold_Name	بنية تحتية ذهبية
Tech_Base_InfrastructureAdvanced_Platinum_Name	بنية تحتية بلاتينية
Tech_Base_InfrastructureAdvanced_Monolith_1_Name	بنية المسلّة التحتية I
Tech_Base_InfrastructureAdvanced_Monolith_2_Name	بنية المسلّة التحتية II
Tech_Base_InfrastructureUnique_Name	بنية تحتية فريدة
Tech_Base_InfrastructureUnique_Organic_Name	بنية تحتية عضوية
